1 filler 25 - 6 den_Kanzler - 172
1 filler 25 - 7 verehrt. - 165
1 filler 29 - 0 Vielleicht - 149
1 filler 29 - 1 hat - 173
1 filler 29 - 2 die_Assistentin - 172
1 filler 29 - 3 aus_Dortmund - 148
1 filler 29 - 4 gelauscht - 157
1 filler 29 - 5 und - 150
1 filler 29 - 6 der_Vorgesetzte - 147
1 filler 29 - 7 aus_Gießen - 165
1 filler 29 - 8 sie - 156
1 filler 29 - 9 kritisiert. - 165
1 filler 45 - 0 In_Frankreich - 165
1 filler 45 - 1 essen - 172
1 filler 45 - 2 die_Leute - 165
1 filler 45 - 3 Austern. - 168
1 filler 56 - 0 Der_Bibliothekar - 181
1 filler 56 - 1 stellt - 164
1 filler 56 - 2 behäbig - 156
1 filler 56 - 3 das_Buch - 164
1 filler 56 - 4 ins_Regal. - 157
1 filler 44 - 0 Der_Bürohengst - 142
1 filler 44 - 1 bewältigt - 185
1 filler 44 - 2 zügig - 172
1 filler 44 - 3 den_Aktenstapel - 165
1 filler 44 - 4 auf - 165
1 filler 44 - 5 seinem_Schreibtisch. - 149
1 filler 47 - 0 Am_Strand - 126
1 filler 47 - 1 erscheint - 156
1 filler 47 - 2 dem_Badenden - 188
1 filler 47 - 3 eine_Meerjungfrau. - 189
1 filler 37 - 0 Der_ABC-Schütze - 181
1 filler 37 - 1 erledigt - 172
1 filler 37 - 2 rasch - 168
1 filler 37 - 3 die_Hausaufgaben. - 163
1 filler 30 - 0 Vielleicht - 159
1 filler 30 - 1 hat - 153
1 filler 30 - 2 die_Turnerin - 156
1 filler 30 - 3 aus_Brandenburg - 149
1 filler 30 - 4 verloren - 172
1 filler 30 - 5 und - 156
1 filler 30 - 6 der_Psychologe - 165
1 filler 30 - 7 aus_Kiel - 149
1 filler 30 - 8 sie - 164
1 filler 30 - 9 beraten. - 173
1 filler 12 - 0 Vielleicht - 179
1 filler 12 - 1 hat - 188
1 filler 12 - 2 die_Zollbeamtin - 183
1 filler 12 - 3 aus_Polen - 161
1 filler 12 - 4 den_Schmuggler - 157
1 filler 12 - 5 überführt. - 146
1 filler 26 - 0 Vielleicht - 143
1 filler 26 - 1 haben - 154
1 filler 26 - 2 die_Pädagogen - 156
1 filler 26 - 3 aus_Halle - 149
1 filler 26 - 4 die_Schulleiterin - 139
1 filler 26 - 5 und - 157
1 filler 26 - 6 den_Klassenlehrer - 174
1 filler 26 - 7 gelobt. - 157
1 filler 1 - 0 Vielleicht - 158
1 filler 1 - 1 haben - 166
1 filler 1 - 2 die_Frau - 184
1 filler 1 - 3 aus_Berlin - 197
1 filler 1 - 4 die_Kinder - 164
1 filler 1 - 5 gesehen. - 188
1 filler 4 - 0 Vielleicht - 156
1 filler 4 - 1 haben - 164
1 filler 4 - 2 die_Diebin - 165
1 filler 4 - 3 aus_München - 175
1 filler 4 - 4 die_Passanten - 170
1 filler 4 - 5 gefangen. - 154
1 filler 55 - 0 Der_Bettler - 173
1 filler 55 - 1 schnorrt - 188
1 filler 55 - 2 beständig - 141
1 filler 55 - 3 Zigaretten. - 157
1 filler 54 - 0 Der_Passant - 173
1 filler 54 - 1 wirft - 192
