subject	segment	cloze	lab	item	n400
bris03	33	80	bris	137	34.91
bris03	34	0	bris	131	-5.84
bris03	35	90	bris	129	15.83
bris03	36	53	bris	122	1.23
bris03	37	93	bris	138	-1.77
bris03	38	87	bris	126	19.67
bris03	39	0	bris	140	-10.90
bris03	40	63	bris	146	-11.92
bris03	41	0	bris	148	1.79
bris03	42	67	bris	145	0.81
bris03	43	47	bris	144	4.61
bris03	44	60	bris	155	-4.28
bris03	45	0	bris	156	-6.07
bris03	46	40	bris	143	-7.95
bris03	47	7	bris	159	9.97
bris03	48	3	bris	151	2.91
bris03	49	0	bris	152	5.71
bris03	50	73	bris	158	9.24
bris03	51	77	bris	154	7.71
bris03	52	37	bris	150	13.44
bris03	53	37	bris	142	-2.93
bris03	54	27	bris	160	11.72
bris03	55	69	bris	157	-4.48
bris03	56	40	bris	149	0.78
bris03	57	0	bris	167	5.41
bris03	58	10	bris	168	1.73
bris03	59	0	bris	175	-4.17
bris03	60	93	bris	169	6.58
bris03	61	97	bris	178	-1.99
bris03	62	0	bris	171	-20.54
bris03	63	93	bris	174	-9.88
bris03	64	100	bris	177	6.49
bris03	65	0	bris	172	-2.91
bris04	1	100	bris	102	11.03
bris04	2	20	bris	104	6.60
bris04	3	93	bris	105	6.38
bris04	4	0	bris	115	11.46
bris04	5	80	bris	110	7.81
bris04	6	7	bris	111	-6.28
bris04	7	34	bris	108	0.30
bris04	8	0	bris	116	9.80
bris04	9	90	bris	114	21.45
bris04	10	100	bris	106	13.58
bris04	11	0	bris	120	0.66
bris04	12	7	bris	103	3.16
bris04	13	97	bris	101	11.28
bris04	14	87	bris	118	-3.78
bris04	15	13	bris	112	14.28
bris04	16	97	bris	113	9.80
bris04	17	62	bris	117	-5.41
bris04	18	93	bris	109	16.93
bris04	19	0	bris	119	-0.69
bris04	20	0	bris	107	4.27
bris04	21	97	bris	125	-0.26
bris04	22	0	bris	140	16.98
bris04	23	90	bris	129	15.63
bris04	24	0	bris	127	-6.80
bris04	25	90	bris	130	4.65
bris04	26	67	bris	128	13.59
bris04	27	97	bris	134	6.38
bris04	28	93	bris	138	8.59
bris04	29	7	bris	136	-6.31
bris04	30	40	bris	124	19.93
bris04	31	0	bris	139	8.71
bris04	32	0	bris	131	10.10
bris04	33	87	bris	126	13.67
bris04	34	53	bris	133	6.99
bris04	35	80	bris	137	-0.94
bris04	36	3	bris	132	30.00
bris04	37	53	bris	122	-11.54
bris04	38	3	bris	123	7.89
bris04	39	0	bris	135	16.70
bris04	40	77	bris	121	23.61
bris04	41	0	bris	152	0.74
bris04	42	60	bris	155	7.07
bris04	43	0	bris	148	5.63
bris04	44	77	bris	154	16.57
bris04	45	93	bris	153	-8.66
bris04	46	73	bris	158	13.89
bris04	47	27	bris	160	17.01
bris04	48	13	bris	147	4.99
bris04	49	63	bris	146	-11.67
bris04	50	37	bris	142	-20.77
bris04	51	40	bris	149	-6.38
bris04	52	69	bris	157	28.73
bris04	53	37	bris	150	3.31
bris04	54	67	bris	145	1.47
bris04	55	0	bris	156	0.99
bris04	56	100	bris	141	6.84
bris04	57	40	bris	143	-15.95
bris04	58	0	bris	179	-5.53
bris04	59	93	bris	165	30.19
bris04	60	77	bris	164	15.22
bris04	61	0	bris	171	2.25
bris04	62	0	bris	176	7.34
bris04	63	57	bris	170	21.95
bris04	64	97	bris	178	2.23
bris04	65	80	bris	173	4.66
bris04	66	93	bris	174	-1.52
bris04	67	23	bris	166	3.99
bris04	68	100	bris	177	14.37
bris04	69	0	bris	172	2.79
bris04	70	10	bris	168	8.41
bris04	71	34	bris	161	-7.06
bris04	72	0	bris	180	8.33
bris04	73	0	bris	163	-11.33
bris04	74	0	bris	167	-10.78
bris04	75	70	bris	162	-0.69
bris04	76	0	bris	175	21.54
bris04	77	93	bris	169	-14.92
bris05	1	0	bris	101	6.70
bris05	2	0	bris	113	-3.07
bris05	3	0	bris	105	4.02
