subject,item,condition,word_position,region_position,rawRT,residRT,qcorrect,experiment
1,8,subjgap,15,6,281,-56.42,1,tedrg7
1,8,subjgap,16,6,313,-24.42,1,tedrg7
1,8,subjgap,17,6,342,0.61,1,tedrg7
1,8,subjgap,18,6,380,42.58,1,tedrg7
1,8,subjgap,19,6,454,104.66,1,tedrg7
1,9,objgap,1,1,344,6.58,1,tedrg1
1,9,objgap,2,1,296,-49.37,1,tedrg1
1,9,objgap,3,2,336,-1.42,1,tedrg2
1,9,objgap,4,3,268,-69.42,1,tedrg2
1,9,objgap,5,3,346,-3.34,1,tedrg2
1,9,objgap,6,3,342,-23.24,1,tedrg3
1,9,objgap,7,4,323,-10.44,1,tedrg3
1,9,objgap,8,4,324,-13.42,1,tedrg4
1,9,objgap,9,4,316,-41.29,1,tedrg4
1,9,objgap,11,5,307,-38.37,1,tedrg5
1,9,objgap,12,5,367,25.61,1,tedrg6
1,9,objgap,13,5,353,-12.24,1,tedrg6
1,9,objgap,14,6,346,12.56,1,tedrg7
1,9,objgap,15,6,327,-18.37,1,tedrg7
1,9,objgap,16,6,397,51.63,1,tedrg7
1,10,subjgap,1,1,340,2.58,0,tedrg1
1,10,subjgap,2,1,316,-45.27,0,tedrg1
1,10,subjgap,3,2,326,-11.42,0,tedrg2
1,10,subjgap,4,3,297,-52.34,0,tedrg2
1,10,subjgap,5,3,312,-25.42,0,tedrg3
1,10,subjgap,6,3,334,-19.32,0,tedrg3
1,10,subjgap,7,4,319,-22.39,0,tedrg4
1,10,subjgap,8,4,312,-25.42,0,tedrg4
1,10,subjgap,9,4,330,-15.37,0,tedrg4
1,10,subjgap,11,5,316,-21.42,0,tedrg5
1,10,subjgap,12,5,331,-46.17,0,tedrg6
1,10,subjgap,13,5,359,5.68,0,tedrg6
1,10,subjgap,14,6,402,52.66,0,tedrg7
1,10,subjgap,15,6,521,163.71,0,tedrg7
1,11,objgap,1,1,326,-11.42,1,tedrg1
1,11,objgap,2,1,277,-72.34,1,tedrg1
1,11,objgap,3,2,256,-81.42,1,tedrg2
1,11,objgap,4,3,309,-28.42,1,tedrg2
1,11,objgap,5,3,261,-100.27,1,tedrg2
1,11,objgap,6,3,350,-7.29,1,tedrg3
1,11,objgap,7,4,277,-56.44,1,tedrg3
1,11,objgap,8,4,225,-112.42,1,tedrg4
1,11,objgap,9,4,386,32.68,1,tedrg4
1,11,objgap,11,5,307,-34.39,1,tedrg5
1,11,objgap,12,5,296,-37.44,1,tedrg6
1,11,objgap,13,5,407,49.71,1,tedrg6
1,11,objgap,14,6,588,242.63,1,tedrg7
1,12,subjgap,1,1,366,28.58,0,tedrg1
1,12,subjgap,2,1,300,-69.22,0,tedrg1
1,12,subjgap,3,2,319,-18.42,0,tedrg2
1,12,subjgap,4,3,357,-0.29,0,tedrg2
1,12,subjgap,5,3,248,-89.42,0,tedrg3
1,12,subjgap,6,3,311,-58.22,0,tedrg3
1,12,subjgap,7,4,304,-29.44,0,tedrg4
1,12,subjgap,8,4,540,202.58,0,tedrg4
1,12,subjgap,9,4,331,-14.37,0,tedrg4
1,12,subjgap,11,5,304,-33.42,0,tedrg5
1,12,subjgap,12,5,330,-31.27,0,tedrg6
1,12,subjgap,13,5,312,-33.37,0,tedrg6
1,12,subjgap,14,6,333,-4.42,0,tedrg7
1,12,subjgap,15,6,319,-38.29,0,tedrg7
1,12,subjgap,16,6,510,144.76,0,tedrg7
1,13,objgap,1,1,350,12.58,1,tedrg1
1,13,objgap,2,1,294,-63.29,1,tedrg1
1,13,objgap,3,2,330,-7.42,1,tedrg2
1,13,objgap,4,3,331,-6.42,1,tedrg2
1,13,objgap,5,3,360,14.63,1,tedrg2
1,13,objgap,6,3,342,-7.34,1,tedrg3
1,13,objgap,7,4,356,14.61,1,tedrg3
1,13,objgap,8,4,303,-34.42,1,tedrg4
1,13,objgap,9,4,371,29.61,1,tedrg4
1,13,objgap,11,5,431,93.58,1,tedrg5
1,13,objgap,12,5,374,32.61,1,tedrg6
1,13,objgap,13,5,435,97.58,1,tedrg6
1,13,objgap,14,6,379,45.56,1,tedrg7
1,13,objgap,15,6,393,35.71,1,tedrg7
1,13,objgap,16,6,555,181.81,1,tedrg7
1,14,subjgap,1,1,323,-14.42,1,tedrg1
1,14,subjgap,2,1,287,-82.22,1,tedrg1
1,14,subjgap,3,2,271,-66.42,1,tedrg2
1,14,subjgap,4,3,275,-66.39,1,tedrg2
1,14,subjgap,5,3,303,-34.42,1,tedrg3
1,14,subjgap,6,3,312,-57.22,1,tedrg3
1,14,subjgap,7,4,266,-67.44,1,tedrg4
1,14,subjgap,8,4,270,-67.42,1,tedrg4
1,14,subjgap,9,4,299,-46.37,1,tedrg4
1,14,subjgap,11,5,245,-92.42,1,tedrg5
1,14,subjgap,12,5,352,10.61,1,tedrg6
1,14,subjgap,13,5,289,-60.34,1,tedrg6
1,14,subjgap,14,6,301,-36.42,1,tedrg7
1,14,subjgap,15,6,338,-3.39,1,tedrg7
1,14,subjgap,16,6,379,41.58,1,tedrg7
1,14,subjgap,17,6,350,12.58,1,tedrg7
1,14,subjgap,18,6,388,46.61,1,tedrg7
1,14,subjgap,19,6,539,201.58,1,tedrg7
1,14,subjgap,20,6,566,216.66,1,tedrg7
1,15,objgap,1,1,308,-29.42,1,tedrg1
1,15,objgap,2,1,244,-113.29,1,tedrg1
1,15,objgap,3,2,255,-82.42,1,tedrg2
1,15,objgap,4,3,235,-102.42,1,tedrg2
1,15,objgap,5,3,260,-85.37,1,tedrg2
1,15,objgap,6,3,357,7.66,1,tedrg3
1,15,objgap,7,4,273,-68.39,1,tedrg3
1,15,objgap,8,4,323,-14.42,1,tedrg4
1,15,objgap,9,4,318,-35.32,1,tedrg4
1,15,objgap,10,4,331,-10.39,1,tedrg5
1,15,objgap,11,5,369,27.61,1,tedrg5
1,15,objgap,12,5,451,97.68,1,tedrg6
1,15,objgap,13,5,331,-18.34,1,tedrg6
1,15,objgap,14,6,517,155.73,1,tedrg7
1,16,subjgap,1,1,376,38.58,1,tedrg1
1,16,subjgap,2,1,428,74.68,1,tedrg1
1,16,subjgap,3,2,353,15.58,1,tedrg2
1,16,subjgap,4,3,312,-33.37,1,tedrg2
1,16,subjgap,5,3,314,-23.42,1,tedrg3
1,16,subjgap,6,3,327,-34.27,1,tedrg3
1,16,subjgap,7,4,421,87.56,1,tedrg4
1,16,subjgap,8,4,405,67.58,1,tedrg4
1,16,subjgap,9,4,491,133.71,1,tedrg4
1,16,subjgap,11,5,965,623.61,1,tedrg5
1,16,subjgap,12,5,412,78.56,1,tedrg6
1,16,subjgap,13,5,364,14.66,1,tedrg6
1,16,subjgap,14,6,439,97.61,1,tedrg7
1,16,subjgap,15,6,412,78.56,1,tedrg7
1,16,subjgap,16,6,431,85.63,1,tedrg7
2,1,subjgap,1,1,298,-137.97,1,tedrg1
2,1,subjgap,2,1,323,-275.51,1,tedrg1
2,1,subjgap,3,2,426,-9.97,1,tedrg2
2,1,subjgap,4,3,357,-111.48,1,tedrg2
2,1,subjgap,5,3,330,-105.97,1,tedrg3
2,1,subjgap,6,3,338,-390.54,1,tedrg3
2,1,subjgap,7,4,353,-50.46,1,tedrg4
2,1,subjgap,8,4,349,-86.97,1,tedrg4
2,1,subjgap,9,4,362,-171.49,1,tedrg4
2,1,subjgap,11,5,1928,1492.03,1,tedrg5
2,1,subjgap,12,5,328,-205.49,1,tedrg6
2,1,subjgap,13,5,506,70.03,1,tedrg6
2,1,subjgap,14,6,234,-136.95,1,tedrg7
2,1,subjgap,15,6,304,-164.48,1,tedrg7
2,1,subjgap,16,6,342,-191.49,1,tedrg7
2,2,objgap,1,1,540,104.03,1,tedrg1
2,2,objgap,2,1,387,-113.98,1,tedrg1
2,2,objgap,3,2,427,-8.97,1,tedrg2
2,2,objgap,4,3,343,-92.97,1,tedrg2
2,2,objgap,5,3,344,-91.97,1,tedrg2
2,2,objgap,6,3,337,-196.49,1,tedrg3
2,2,objgap,7,4,1577,1108.52,1,tedrg3
2,2,objgap,8,4,328,-107.97,1,tedrg4
2,2,objgap,9,4,305,-195.98,1,tedrg4
2,2,objgap,11,5,398,-70.48,1,tedrg5
2,2,objgap,12,5,304,-131.97,1,tedrg6
2,2,objgap,13,5,313,-155.48,1,tedrg6
2,2,objgap,14,6,282,-316.51,1,tedrg7
2,3,subjgap,1,1,323,-112.97,1,tedrg1
2,3,subjgap,2,1,314,-121.97,1,tedrg1
2,3,subjgap,3,2,316,-119.97,1,tedrg2
2,3,subjgap,4,3,315,-218.49,1,tedrg2
2,3,subjgap,5,3,316,-119.97,1,tedrg3
2,3,subjgap,6,3,294,-174.48,1,tedrg3
2,3,subjgap,7,4,286,-182.48,1,tedrg4
2,3,subjgap,8,4,283,-152.97,1,tedrg4
2,3,subjgap,9,4,317,-118.97,1,tedrg4
2,3,subjgap,11,5,305,-130.97,1,tedrg5
2,3,subjgap,12,5,349,-119.48,1,tedrg6
2,3,subjgap,13,5,327,-271.51,1,tedrg6
2,3,subjgap,14,6,382,-118.98,1,tedrg7
2,3,subjgap,15,6,855,256.49,1,tedrg7
2,3,subjgap,16,6,318,-85.46,1,tedrg7
2,3,subjgap,17,6,291,-144.97,1,tedrg7
2,3,subjgap,18,6,301,-395.03,1,tedrg7
2,4,objgap,1,1,301,-134.97,0,tedrg1
2,4,objgap,2,1,323,-210.49,0,tedrg1
2,4,objgap,3,2,293,-142.97,0,tedrg2
2,4,objgap,4,3,316,-119.97,0,tedrg2
2,4,objgap,5,3,301,-297.51,0,tedrg2
2,4,objgap,6,3,338,-325.52,0,tedrg3
2,4,objgap,7,4,327,-76.46,0,tedrg3
2,4,objgap,8,4,391,-44.97,0,tedrg4
2,4,objgap,9,4,398,-200.51,0,tedrg4
2,4,objgap,11,5,375,-60.97,0,tedrg5
2,4,objgap,12,5,394,-139.49,0,tedrg6
2,4,objgap,13,5,391,-12.46,0,tedrg6
2,4,objgap,14,6,393,-173,0,tedrg7
2,4,objgap,15,6,376,-27.46,0,tedrg7
2,4,objgap,16,6,3268,2832.03,0,tedrg7
2,4,objgap,17,6,409,-189.51,0,tedrg7
2,4,objgap,18,6,500,-131.01,0,tedrg7
2,5,subjgap,1,1,294,-141.97,1,tedrg1
2,5,subjgap,2,1,312,-188.98,1,tedrg1
2,5,subjgap,3,2,301,-134.97,1,tedrg2
2,5,subjgap,4,3,346,-122.48,1,tedrg2
2,5,subjgap,5,3,335,-100.97,1,tedrg3
2,5,subjgap,6,3,335,-198.49,1,tedrg3
2,5,subjgap,7,4,316,-87.46,1,tedrg4
2,5,subjgap,8,4,307,-128.97,1,tedrg4
2,5,subjgap,9,4,304,-294.51,1,tedrg4
2,5,subjgap,11,5,298,-137.97,1,tedrg5
2,5,subjgap,12,5,323,-243,1,tedrg6
2,5,subjgap,13,5,288,-212.98,1,tedrg6
2,5,subjgap,14,6,267,-168.97,1,tedrg7
2,5,subjgap,15,6,7319,6622.97,1,tedrg7
2,6,objgap,1,1,346,-89.97,1,tedrg1
2,6,objgap,2,1,297,-236.49,1,tedrg1
2,6,objgap,3,2,353,-82.97,1,tedrg2
2,6,objgap,4,3,323,-112.97,1,tedrg2
2,6,objgap,5,3,314,-219.49,1,tedrg2
2,6,objgap,6,3,831,265,1,tedrg3
2,6,objgap,7,4,360,-43.46,1,tedrg3
2,6,objgap,8,4,409,-26.97,1,tedrg4
2,6,objgap,9,4,331,-169.98,1,tedrg4
2,6,objgap,11,5,1460,926.51,1,tedrg5
2,6,objgap,12,5,324,-176.98,1,tedrg6
2,6,objgap,13,5,349,-54.46,1,tedrg6
2,6,objgap,14,6,340,-160.98,1,tedrg7
2,6,objgap,15,6,660,126.51,1,tedrg7
2,6,objgap,16,6,330,-105.97,1,tedrg7
2,6,objgap,17,6,4119,3650.52,1,tedrg7
2,6,objgap,18,6,270,-133.46,1,tedrg7
2,6,objgap,19,6,2867,2268.49,1,tedrg7
2,7,subjgap,1,1,326,-109.97,1,tedrg1
2,7,subjgap,2,1,323,-275.51,1,tedrg1
2,7,subjgap,3,2,344,-91.97,1,tedrg2
2,7,subjgap,4,3,636,-60.03,1,tedrg2
2,7,subjgap,5,3,320,-115.97,1,tedrg3
2,7,subjgap,6,3,12012,11446,1,tedrg3
2,7,subjgap,7,4,345,-58.46,1,tedrg4
2,7,subjgap,8,4,364,-71.97,1,tedrg4
2,7,subjgap,9,4,11328,10696.99,1,tedrg4
2,7,subjgap,11,5,416,-19.97,1,tedrg5
2,7,subjgap,12,5,313,-122.97,1,tedrg6
2,7,subjgap,13,5,440,-191.01,1,tedrg6
2,7,subjgap,14,6,334,-166.98,1,tedrg7
2,7,subjgap,15,6,1408,907.02,1,tedrg7
